;text;ciberbullying
407;Have you ever had a celebrity crush? Who was it? What were they famous from? (youtube  tv  etc.) What made you crush on them? Was it strictly looks?;0
408;you should fade jhocelyn..;1
409;waht it do girly! *throws the beads at rza* XD....bwahahahhahaha!!!;0
410;jordan leigh baby girl no matter what happens in life you are always and forever my best friend <33 you mean the world to me FUCK OTHER SHADY BITCHES(: im always gonna be here <3 i love you so much jordankinpoonanners <3;1
411;suck me fucker. hahahahahahhahha yeah yeah like that yeah OH OH OH SIMOA! -@rigelATTEMPTS;1
412;where did u come up with the name moo for him?;1
413;andrew once again stop talking to MY friends. nobody likes you. you think your hot shit and thats whats annoying. bye failed rapist :);1
414;Hah wow if your so sweet and innocent why are you always like stfu and wtf. I don't buy that I'm standing up for myself shit you can stand up without being a bitch. If you don't like what people say don't post unless your just looking for attention. Damn.;1
415;"Jenna davis  told me you were making her bad cause you told her you were gonna go to her house today to &quot;get it in&quot;";0
416;"&quot;dating  i would say my ex. which one? i will not say.&quot;r r r i do know(:";0
417;when ?;1
418;When did moises hangout with you cause your default is with him and when i saw it i was like wtfff is he doing with you no fense though??;0
419;XoxoAshleyxo and I are okay now though. No more threats so your back up will not be needed.;1
420;Do you spit or swallow?........................ Gum!....... Lmao!;0
421;hehehehe(:;1
422;Oh...my...god. DADDY?! I missed you so much! Where were you all my life!;0
423;Hey. Why you such a bitch?;1
424;what is the best cure for a hangover? Im dying right now;0
425;In a very pissed off mood. How would you cheer me up?;0
426;u2584u2588u2580 u2588u2584 u2588u2584u2588 u2580u2588u2580;1
427;YOU DONT EVEN FUCKING HAVE FAKES STOP THE FUCKING BULLSHIT AND GET A LIFE JEZUSS. HOW OLD ARE YOU KID? LIFELESS BITCH YOU NEED HELP.;1
428;"May be good at anal  you never know!! Hey stop bullying him just because he gets his trainers from ASDA. My mum shops there :O and as for the dad he just shops in poundland.  Your gay ;)";0
429;Maurice I miss you. I love you so much u2665 Kelly Garcia Kltz;0
430;Grosss! Your face is nasty;1
431;"Where&apos;s your favorite place to buy clothes?";1
432;"This is not &quot;Krista&quot; for the last time I have no flippen idea who &quot;krista&quot; is";1
433;Ok  to answer your question honestly  I do want to smell your feet  but I swear the truth is that I did *not* ask you those questions  previously. That honestly was someone else.;0
434;Thanks for your time to bitch I swear I would ughhhh elizabeth u062a rodriguez;1
435;we can sit up on nem hills or we can sit up on nem bricks! shawtyy lemme get a lickkkk  when you wana splittt?;1
436;but if i did that youd know it was me..;1
437;"Do you guys like robot chicken? i do;) asked";0
438;How old were you when you had your first girlfriend/boyfriend?;0
439;Who's small minded and snobby in texas and what made you so mad?;0
440;VV go to the movies wif me!;0
441;your thing says your very sexy.. lololol hah ! LIES ! ! :);1
442;omgg  your one of the prettiest girlsss eva (: do you go to palmetto though??;0
443;YOUR NOT FAT ALEXIS!! SHe'S THE FAT ASS lOW LiFE BITCH!!!;1
444;i think i love you more than that other person who seems to love you a lot !;0
445;If a parsley farmer is sued  do they garnish his wages?;0
446;"Hey! I get way TOO many questions a day. If you spam more than 5 questions a day  please remove me from your list  but I will still spam you  if you want. If you don&#039;t want me spamming you  just tell me nicely in my inbox. Thanks.";1
447;if i told u den it would make it all the less fun;1
448;"stop annoying betty btw. you&#039;re  a really sad little girl/boy . You think ur all grown up now using big words . stupid child  living a fake life behind a damn keyboard and a screen. how more pathetic can you be ?";1
449;How likely are you to find ants crawling around on the floors in your house during the Summer ?;0
450;but im waiting for teh return spam....;0
451;"Apart from the obvious ones  which two body parts do you find most sensitive and responsive? ;-)";0
452;3 ppl chose french kiss and... 17 chose AUSTRALIAN KISS! MUAH u2665 LOL;0
453;You didn't get a brain that day either. They were only handing them out to people who would use them.;1
454;"Leave Kasey alone  she&apos;s a hell of a lot nicer than you  so why don&apos;t YOU shut yo damn mouf (Yes  i on purposely spelled those word&apos;s wrong  no need to correct me)";1
455;bitch i can rap beta den yo ugly ass;1
456;"What&#039;s the longest you&#039;ve ever gone without a bath or shower?";0
457;cj is gay;1
458;Yuh styll feelinme;1
459;Do you believe in life after death?;0
460;"If someone offered you three million dollars but in exchange three people&#039;s lives of your chosing would forever be ruined would you accept it and why?";0
461;What is the worst thing a person could do to you and still be forgiven? Does forgiveness come easy for you?;0
462;does the guy u are with at lunch and u talk to does he have a gf =);1
463;hehe your formspring questions made my night <3;0
464;Would you say that you are a superstitious person?;1
465;What kind of music do you listen to?;0
466;filthy mexican;1
467;what kind of ice cream did you get? what kind is your favourite?... mine is mint chocolate chip... and it has to be the green kind (not the white)  otherwise its just not right :-);0
468;"austins new girllfriend is not uglly  &amp;&amp; she is way way better than your nasty asss willll ever be. Ha evven youur so callled bestfriend &quot;katellyn&quot; aggress that kristens pretty tighht.";1
469;but its a good teacher at least;0
470;yo ppl spread the word and ask me more questions =];0
471;R u going out with John John?;0
472;On a scale of one to one milllion how much do you love michaela? :);0
473;at first i thought justin was going to be another one of those guys who is a player  then after i saw you guys talking i thought he was just a player who wasnt going to play you. then you guys talked more  i thought he was a ok guy but then he was rude to;0
474;"good to know good to know ;)";0
475;Do you believe that he or she will always have a special place in your heart?;0
476;"oh so i&#039;m not cool enough to be on your top ten?";1
477;Ur gunna get jumped. U stupid bitch.;1
478;Do you have a T.V. in your bedroom?;0
479;Fkkin Bicthes Needa Get A Life Hatinqq Because You Got Boobies And They Dont JEALOUS HOES! (: Your Amazin Sister  !(: I Love Yopu <3 FKK HATERS :DD;0
480;"Pshhhhhh you dont know shittt about MW2...Get on my level then maybe we&apos;ll talk. Hahahaha";1
481;Your comebacks suck balls;1
482;What was your happiest/saddest/funniest moment in life?;0
483;"yay the baby&#039;s still alive!!! <33 sorry... more grey&#039;s... so adele is married to the chief of surgery.. they are &quot;split up&quot; and she got pregnant... with another man...she&#039;s 52... wow... just thought id catch you up ;-)";0
484;does all me asking questions annoy you?;0
485;"You work in a bank  right ?? .. Are you as stuck up looking as every other bank teller lol ?? .. Oh hang on  you don&apos;t work out as a teller  do you ?? ..";1
486;STFU YOU HOE. you piece of shiit.;1
487;"Don&#039;t fuck me.";1
488;Isnt that quote from alice in wonderland?;0
489;When did you find out you was gay? And how?;0
490;"heyy gorgeous its jessicaaa fuck dem hater i still love you ;]";1
491;you act way too old for your age laura chill out honestly;1
492;how old is TOO old to be a virgin?;0
493;do u ever feel like ur relatives r more like strangers?;0
494;Wait. Are you Cheyenne? I sent a request to you? Wait  why is your name Tabitha?? R u fake????;1
495;"ima get that song...what you try&apos;n to say bout &quot;never ever&quot;?";0
496;Would you rather date a lot of different people  or be in a committed relationship?;0
497;uhmmm lol i meet a few ppl there? wats yur name??;0
498;"What&apos;s the best piece of advice you&apos;ve ever received? r";0
499;"You are my sunshine  my only sunshiner You make me happy when skies are grayr You&apos;ll never know dear how much I love your Please don&apos;t take my sunshine away";0
500;Like what do you want to be known for?;1
501;"I&apos;ll Be in in a bit. When mrs. Done with compu comp!";0
502;Have you ever willingly or accidentally hurt an animal? D:;0
503;"13?r you&#039;re at the perfect age to learn how to suck dick and give hand jobs.";1
504;"If we developed a way to live on other planets  do you think it&#039;d be wise to have a planet strictly for prisoners? Like an off-planet jail? I read a book that had this theory. What else could we use the other planets for?";0
505;I think your gay sorry.;1
506;Do you think you could ever live in the country?;0
507;Do you have a twitching problem?:;1
508;i hope your asswhole gets sniffed by aids;1
509;lol ok now ur just straight up lying. faggot.;1
510;dont u worry im not blackmailing you lol. i would never tell anyone no matter what lol only i know the answer lol;1
511;have you ever been had to make tough decisions about your love life?;0
512;SNAP!! ITS 6.49 YOU @ WORK LOL WELL WE GOING NIGHT RIDE TONIGHT YOU COMING? I HAVE A PASSENGER GOR YOU CAUSE TANYA DONT WANA GO SO CHILL IF YOU WANT A PASSENGER I GOT ONE CHILL;0
513;I wanna show you one of my poems I wrote to you  the day we met. The day I knew I'm gonna like you till the end. And I still do. Idc If you never wanna date me ever again I don't blame you.;1
514;I CAN BE YOUR SEX SEX TOY I I CAN BE YOUR SEX SEX TOY  I CAN BE YOUR MALLIBU BARBIE  I CAN PLAY PLAY FOR YOU BABY WHEN YOU GET LONELY  I SAID I CAN BE YOUR HANNAH MONTANA I CAN MAKE YOU MOVE IN WAYS YOU CANT IMAGINE.;1
515;What if god was one of us?;0
516;well bootyful ppl shay will be m.i.a for abit try not miss to muj especially u clarissa lol feel free to spam me still.....love u guys talk soon be good and play nicely :);1
517;Fucken guys flirt with every bitch on here lol girls too;1
518;ew i wuld never be jelous of ur life. coke yup thats a drug to but u still seem to handle with it a lot. no one gives a flying fuck about ur life and leave andrew the fuck alone bc u only hate him for the firey cunt;1
519;"Your bio is quite interesting  it says  &quot;booo you whore.&quot; Are you talking about yourself? I am very confused.";1
520;whatever your a fake  and have nothing good to do with your life.;1
521;What do you wish you were doing instead of answering this question?  :);0
522;Yo dumbsta baby  shut up or imma rip out yo weave you tranny! lmao this is jo  and i love you.;1
523;Hi my name is Andrew and I want to fuck your brains out you hoe;1
524;the old shay would have found that funni....but oh well;0
525;Do you get annoyed when someone cuts in front of you when you are waiting in line?;0
526;Imagine you are walking through a forest  you see a stream and a fallen tree  so you sit on the tree and look out at the stream. What season did you imagine it was? Did you imagine any animals? Can you describe what you saw?;1
527;"&quot;Show your face Anonymous&quot; WTF?! You make no sense you fake ugly bitch";1
528;Have you had unprotected sex? (too much? delete it) I have :);1
529;If you saw a robbery  would you report it?;0
530;i wunt y0 cUm surfacing dh@ rimsz of ma lipszzz;1
531;"have u given any BJ&apos;s??";1
532;Can you post a close up of your photo I think I might have known you in my past life?;0
533;Are you telling the truth if you lie in bed?;0
534;So  do you think online relationships can work ?? .. I like to think they can :) ..;0
535;Does it bother you when people curse at you?;0
536;I found 2 people coppying my questions that I made up  WORD FOR WORD. Does this bother you when people do that to you? Or do you do that to other people???;0
537;how often do you go out?;1
538;HOW WAS SITTING IN THE HOSPITAL ALL DAY LOL;0
539;"How far would you go with someone that you just met? haha ;-)";0
540;If your gonna call someone fake .. at least speel it right ... geez ... ily Tabiaah!!;1
541;I HATE YOU 2;1
542;are you fake?;1
543;Is pro-choice the same thing as pro-abortion? explain your answer.;0
544;Where are veins under your skin most visible? There are 2 veins on the top of my hand and then on the underside of the wrist.. I heard that strain makes them pop out more. Haha;0
545;What is something fun you use to do with your parents?;0
546;Who would win in a fight: pirates or ninjas?;0
547;"for petes sake  comes from the bible for saint peter  one of jesus&apos; apostle...its like cursing saying  for jesus christ! or god damn!";1
548;"ooooop i figured it out!      ;)wowowowowowowowowowowowowoowowowoowowoowow hahahaha";0
549;"Oiiiii .. I&apos;m not trying to mess with the police lmbo! .. I&apos;m scared of them lmdbo! .. Maybe I&apos;ll get my nephew to try lmbo! ..";0
550;"hey  maybe try asking a question next time? like  will you jizz in my pants? (;";1
551;If someone hardly knew you but confessed their love to you a week after the first date how would you react? What would you say? >.<;0
552;What do you think about people who give one word answers to nearly everything?;0
553;"NO! you&apos;re the fool lol";1
554;sex? penis or vagina? dirty or clean sex?;0
555;DO U NO ALIX'S SISTER HAS A CRUCH ON YOU;0
556;watching bleach....and going to bed....=) night!;1
557;"you&#039;re the bitch :) fuck off.";1
558;i would love to taste you .  <3;0
559;gooooooooooooooooooooood.;1
560;Culd i suxk ur dang-a-lang frum tha baxk shawtayyyy?;0
561;Tabi isn't fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:;1
562;If you could change your race/ethnicity  would you? What to? Why?;0
563;YO VAGINA FLAPPY;1
564;have you ever swam in the pacific ocean?;0
565;"Why bother posting the one when I said going to bed? I&apos;m at work ya know";0
566;"i think all we&#039;ve done is decide the location?.. haha soo what next? either way we should continue it ;-)";0
567;"Okay  that&#039;s all for a little bit.  I&#039;ve been having some trouble with people not wanting questions and being bitchy about it.  If you don&#039;t want any further questions please message me in my inbox and you will be removed without a fight. Thanks  guys! :)";1
568;who are you?;1
569;r u gay?;1
570;Size of the boat or the motion in the ocean?;0
571;"Of all the questions you have been asked  how many of them do you think you answered with either one word  or with an &quot;idk&quot; &quot;idc&quot; or &quot;idr&quot; ?";0
572;do the makers of Friendster uses Facebook? =);0
573;"I don&#039;t know you  and I&#039;ve never said ur ugly. please dot comment on my looks.";0
574;r Have you ever broken one?r r;1
575;yu a dam lyee mikey yu kno ya mom behh tearn ya asz up.;1
576;how old was u wen u 1st had sex?;1
577;i h3rd yUh sU(k3D @L!X's D!(K n y@LL cUM3D !N 3@(H 0+3RszZ 3Y3sz N m0@n3D @ll n!qH+ l0Nq;1
578;"If a person has AIDS and they got bit by a poisonous snake and the police or emt&apos;s can&apos;t get to them on time &amp; your the only person with them what do you do?Do You suck out the venom or let them die?";0
579;how many times do you eat in a day?;0
580;"cant.. especially now.. but i will dont worry.. lol.. if i still kno u in a couple years ;).. nd u cant become a crackhead or anythin like thtr";0
581;"WUT BrA U&apos;s GoT On?";1
582;Do you look down upon strippers  prostitutes  porn stars  or women that pose nude for magazines? Is there a difference between those jobs  or are they all the same to you?;0
583;Leave Tabi alone  I know for a FACT she hasn't done anything to you. Pretty sure it's pathetic you're saying this shit anomalously because you don't have the balls to say it to her face. Who's fake now? Grow a pair and shut the hell up. We don't CARE.;1
584;"That thing that says &quot;connect with wordpress&quot; what is it? Can anyone tell me what wordpress is?!?! D;";0
585;uhm uhmmm what kind of undersea creature would you be?;0
586;DU U eVA hAd eRotic thoughTs abouT me? DEScIBE ThEm;1
587;Was your birthday everything you wished it would be?;0
588;fake doesn't mean you look pretty?;1
589;I see (:;1
590;name the hottest girl that you have ever met;0
591;If your house HAD to be infested with either snakes or rats  which would you choose and why?;0
592;dayumm stupid fuckin cunts stop talking your shit get a fuckin life go suck your moms dick and chock on it dayumm lil pussys take it of anonamis or watever -stephanie iloveyou alexis :);1
593;hello mr gay fuck;1
594;she ot me right by her side bitch! an at least i can show my dam info pussyyy ass V;1
595;Do you need to know everything about someoneu2019s past?;0
596;http://www.formspring.me/bornbadd <-- follow thee link !! lol;0
597;I will.r You love SeeBassChin  Victor  and you love me!;0
598;Do you stroke your pussyr r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r r CAT?;1
599;What's the oldest piece of clothing you still own and wear?;0
600;How confident are you on a scale of one to ten?;0
601;"are you famous or something? i haven&#039;t heard of you.. [x";1
602;Ballfuck  she's real. Get over it. vv;1
603;If you ran the world...what would it be like?;0
604;i want you dead.;1
605;**bitch*** lol VVV;1
606;What was your first impression of me :)?;0
607;What TV show do you wish would go off the air for good?;0
608;"me move there or you move here?? ;-)";0
609;omg have you seen the pictures of u on emogasm.com lol;1
610;do you drink? would you date someone who drinked?;0
611;is your formspring different again too? hAHA;0
612;Wait. Are you Cheyenne? I sent a request to you? Wait  why is your name Tabitha?? R u fake????;1
613;okay the raping  will begin. in 3..2...1;1
614;"Aw see even nico does nott want too go near you. I like that you try and typeall ghetto. YOU dont fucking scare me you bitch. Ill fucking kill you if we faught. You&#039;d probably bring your &quot;ghetto friends&quot; Bahahaha. Who would that be? Bella and kendall? Pff";1
615;How many Y/A contacts have you spoke with on the phone?;0
616;What does marriage mean to you ? Is it necessary if you would like to futher a stable relationship ?;0
617;"What&#039;s one thing in the past you would like to change?";0
618;Well after getting the lady I gonna work out.;0
619;Hey i love daydrien too :D no homo;1
620;are  you a vergin;1
621;whens the last time you jacked off?;1
622;hop off porch monkey  she mine<333 member this babe it tony your fatherfucker;1
623;Do think fun should be all the time  at the expense of everything else?;0
624;LMFAO YOU CHANGE YOUR NUMBER AGAIN? SOME JUNGLE LMFAO VOICEMAIL GOES WITH UR NAME WTF IS UP WITH YOUR NAME?;1
625;What do you think about global warming?;0
626;My doggie ate some weed i plannd on selling  and nows shes stoned its so funny! XXDD;0
627;Are you having a great Xmas :D:D:D:D;1
628;HEY!!TABILO! I JUST READ YOUR BIO AND I LAUGHED OUT LOUD!!I LOVE YOU   QUESTION:WHAT IS YOUR FAV.SONG/MOVIE/BOOK?I DID THE QUESTIONS IN BULK TO SAVE TIME!!!!O AND GUESS WHO IT IS !!;1
629;"Me and you  shed tonight ? ;-)";0
630;YOU ARE MEAN;1
631;Some people have their babies names planned out. Do you? What do you want? A boy? 2 girls? 2 boys 2 girls? Any ideas? :) If it was with a girl  some people want to have them themselves  would you want to have the children or your partner?;0
632;FUCK YOU YOU SON ;1
633;ahaha my mom is dead :) but thanks ugly ass bitch that NO BODY knows and has no life and has to talk shit on formspring to pretty girls that she is jelouse of :) alright bitch.;1
634;U guys need are gay hopp off matts dick :);1
635;i have been the one who has been calling you a hoe and shit cuz bitch justin has a fucking girl friend so back the fuck off and quit throwing your self at him. your a whore.;1
636;Have you ever heard of a rug-muncher? I was just wonder.lol;1
637;"Vvv I'm sorry but I have a wife<3 Tabitha isn't a fake(: omfg! Let's make a song! An name it &quot;Tabitha Isnt A Fake So Fuck Off Anonmous You Have No Life Haha&quot;";1
638;Do you honestly think I would leave a comment on your formspring telling you to be nice to me? I don't know who that was. PS I stuck up for you when that girl was being mean  so I'm pretty sure I have been niceee;1
639;girl whoes saying its elizabeth stfu and stop putting her name cuz i know thats not herrrr<3;1
640;Ewww you like J Williams :P .. He annoys me :P .. I went to school with Emily :)  and Ma-V-Elle use to come and perform at Weymouth all the time for us because of Emily XD .. Pretty talented family those Williams siblings eh ?? ..;0
641;i hit someone so hard they like sprayed blood all over me. and vomit. i think i kicked or elbowed them in the stomach.;0
642;hahahah..i will bury myself in a whole.....its a deal!;0
643;how weird is that..at dinner  the table next to us were two couples from australia;0
644;"did you just fart ? beacause you blew me away ;)";1
645;Fanny or dick?;1
646;If you found out someone was somehow pregnant by you(for men) or you were somehow pregnant(for women)  how would you react?;1
647;do you like oral sex or sex better?;1
648;wtf  you got 2 b the freakiest bitch.;1
649;Why is Tyra(nasurus) Banks such a dumb bitch?;0
650;okay  i added some people who want sexual spam  i dont do that over mass spam. if you want sexual spam  ask me to spam you individually and i will(: thank you!;1
651;"http://formspringme.zendesk.com/home complain about FS and the limitations they&#039;re making here  you have to make a whole new separate account to do it.";0
652;A girl name Tarren has half of your pics.  WTF is going on;0
653;"do &#039;dirty&#039; minds really think alike? do any minds really think alike?";0
654;lmao somones all distracted lmao cant write right now?? its ok i undastand ur obbsessed.;1
655;"Aww you&#039;ll have some beat my ass? Your not &quot;badass&quot; enough to do it yourself? Exactly what imeant by pussssssyss<33333";1
656;"someone should block my computer from watching skins and grey&#039;s anatomy in the same day... hence the uncontrollable crying...";0
657;If there was a hour extra everyday what would you do in that time?;0
658;there sweet and delicioso!..i had to climd the tree though..i was drunk again too!!!!!!!;1
659;U A HOE.!;1
660;If Jimmy cracks corn and no one cares  why is there a song about him?;1
661;what is the last song you heard?;0
662;"How many times have you been &#039;surfed and turfed&#039; ?";0
663;no body likes yuuuuuuu!;1
664;"people say ur a bitchh i didnt kno u lyk daht &amp;&amp; then i saw katryna throo a corndog at ur head lmfaoo u are bitch. was the CORNDOG GOOR FERR UR HAIRR??(: good ferr mah sencve of huemr..lol";1
665;yous a bitch nd hoe !;1
666;vvv why did you write yourself a money sign..? O.O;0
667;im okay ty :) wubu2 ?;1
668;Would you rather run a moe  jump a style or eat a country pancake?;0
669;"I&#039;ve been asked that question like 13 times";1
670;I am NOT a baby  you jerk off!;1
671;what amazes you?;1
672;haha check out my background.. so perfect.;0
673;the genie is about to disappear.. hurry..tell him your last wish;1
674;Do you think flip-flops count as business casual  for women? Why or why not?;0
675;KUM ON DEN WIT DAT BIG DICK;1
676;Last time you saw your best friend?;0
677;what u doin...?;1
678;what is the strongest emotion a human has?;0
679;What would be the worst disease to have?;0
680;ashleys a nice girl  dont mess with her ya weirdos;1
681;"im gonna test how smart y&#039;all are... whats 15x15? :D i know the answer. p.s dont use a calculator :D";0
682;"watsz o1 food you&apos;ll neva eat again?";0
683;How easily do you gain weight? What kind of body shape do you have?;0
684;Have you ever cum during a sexual fantasy?;0
685;Awwww .. WhoOp whoOp @ your 4WD being paid off .. How long did it take you to accomplish that ?? .. What kind of truck do you have ?? ..;0
686;I DO know you on a personal level. Bitch.;1
687;DO YOU LIKE TIGHT PUSSSSSAYYYYS;1
688;beach with the Blonde how about Thursday? :);0
689;"does it look like i give a flying fuck? ;]";1
690;"lol  its funnyyy howww its alll pusssys dowwn there who wontt put there user info xD there trying to likeeee geet you all pised off and tryy to act tough and theeey wont eveen put theree nameee  and there callingg you immature? LMAOOO;";1
691;"What do you think of Canada  and it&#039;s canadians? ;)";1
692;choose: be cross-eyed person or be a cripple?;1
693;"Most everyone I know has a favorite number  what&#039;s yours and why do you like it? Saying &quot;just bc&quot; will not make me a happy camper btw haha. :P";0
694;Which is the one song that comes to your mind when you think of me? r ( and dnt say obssessed).. loser;1
695;If you could eat dinner with any person  dead or alive  who would it be and where would you go?;1
696;ill remind u in a couple years but first we gotta be better friends cuz for sure im not gonna kno u at all...r;0
697;Im gonna take pole dancing classes would that make me slutty?;0
698;i dont think your a virgin  btw. xD;1
699;"Doo You Still Gedd Ass Wopinqq's (: hahaha ;; Ps Dont Lie ?";0
700;Does it make you mad you have tonsssss of hate groups on myspace?;1
701;gahaha. xD i will whip your ass. lmfaoo.;1
702;On a 1 to 10 how mad would you be at me if I were to rape you?;1
703;"you&#039;re a babbyy!";1
704;do i even know you ? and why the fuck are you leaving shit on my wall. seriously?get a life.;1
705;i dont care;1
706;i dont know why people are putting stupid stuff all over your formspring   weve only talked/chilled a couple times but you seem really nice.... so people should actually hangout with someone before they decide to hate on them......;0
707;Are you a bisexy?;1
708;your top 5 ugliest people ive ever seen;1
709;whatg do u think to fakes?;1
710;i lovee youu alexiss<33r and i hate dominic(:;1
711;do you think i look cool in this hat?;0
712;do u follow football yes or no?;0
713;Have you ever questioned your gender? Like  if youu2019re a girl have you ever wondered if youu2019re a girl on the outside  but a boy on the inside  or vice versa? If that makes sense :P;0
714;"Why do girls call themselves &quot;5 star chicks&quot; Butt  they still live at home with their mom? -_-";0
715;Do you like your first or middle name better?r What is your middle name?;0
716;You can choose your last meal. What will the menu consist of?;0
717;is it wrong to like girls ?;0
718;have a family member ever hurty to the point u wont talk 2 them ever again?;0
719;Do you think it is acceptable behavior if you are in a serious relationship to comment on pictures of the opposite sex on Facebook/MySpace and tell them how hot they look? Why or why not?;1
720;I saw a purple turtle today o_O .. Have you seen anything out of the ordinary lately O_o ?? .. Like  maybe a pink Koala :o .. Or  a yellow Crocodile o_O ..;0
721;What type of music do you dislike most? why?;0
722;Baby you got some awesome titties!;1
723;heey. how many other formsprings do u have? like 50? damn. get a life.;1
724;Do you make a lot of money?;0
725;If Fuevas The Alaskan Jumping Monkey was to eat ALL of your pop tarts  AND rape you in your sleep. How would you feel in the Morning?;0
726;so said i would (or at least i thought i would anyway)... would you? :-);0
727;Did you ever think you had the swine flu? If you did have it what were the symptoms like?;0
728;you are terribly rude to everyone  i am sick of it. you abuse every good thing that happens to you and destroy it with hate and fake smiles. By the way  be careful who you trust. dead or alive. just a heads up from someone who still cares.;1
729;omar be ugly dudeszz get at me.;1
730;"SMILE4MEXXX IS TRAILER TRASH. A RACIST FAT COW. A BIMBO FUCKING SLUT. AND WORTHLESS AS HELL. ALL SHE&#039;S GOOD FOR IS SOMEONE USING HE BODY FOR SEX AND DUMPING HER ON THE STREET WHEN THEY&#039;RE DONE USING HER ;)";1
731;umm trying to think of something....... still wanna run till its winter??;0
732;the guy at lunch at ur table at school who u hang out with and talk to he is HOT;0
733;omg toneys in tenth grade wow either hes despret or ur pregnat;0
734;"ew you&#039;re gross. ugly. BITCH";1
735;hey laura its mike just stoped by to show some love;0
736;"was it the last one who u &quot;where with&quot;";1
737;"How weird am i???? pretty weird right?? ;-p haha";0
738;tabi i feel so bad about these bitchy girls who keep on saying shit to you on here  if they even knew you they would no you are the most moddest girl i have ever met.;0
739;did you and him call each other moo while you were dating?;0
740;lolss so watss up witchaa yew;1
741;Why is the 0 on a phone after 1 and not before 1?;0
742;What movie do you know every line to?;0
743;have yuu and tony baby smochedd yet<3;0
744;i would eat a whole packet of cakes yes  i ate a big tub of ice cream didnt i? :);1
745;"i neva asked tew b ur friend betch! stopp formspringin mi pussi ahh hoe&amp; bring ur stoopid ass self&amp; stoopid ass dramma sumwhere else. KAYKAY. stoopid ugly lukin trick!";1
746;"Wasssssup I&#039;m cooo a.f ask me shit sometime (:";1
747;"im sitting at the desk  and i look up  the first think i see is a black and white  old fashioned  &quot;Kit Cat clock&quot;. with the moving tail and eyes :D. if you do the same thing  what do you see?";0
748;Can I have a Picture of your Penis? :D;1
749;Dumb bitch! Fuchkkk you and your stupid friends! Your all pussies! None of you can handle on your own! You always need your friends to get in everything!;1
750;"i was baptized  catholic  but i have different beliefs here and there.. like i do believe in some sort of afterlife.. and i believe that there is a &quot;higher power&quot; but its all slight variations and mixtures of other religions and stuff.";0
751;Your 44 years old? :O! Dumbass  Pedifile. :D;1
752;cool  when can you sneak out? and how long can we hang?;1
753;why so mean to ree?;1
754;your so stupid  you say your not pretty to people so they can be like oh your so pretty blah-blah-blah!! so can you stop?? i mean i totally agree with you  your ugly as shit  no worse than ugly as shit  so go die.;1
755;why are you such a bitch/whore cunt?r i hate ur guts;1
756;"Let&apos;s say you went hunting and you accidently shot a special child who would you blame?";0
757;Have you ever been blackmailed? If so  what happened? If not  how do you think youu2019d react to being blackmailed?;0
758;who would win? you  gmac or me on the german autoban and we all ahve the same car...;0
759;"The artist Prince publicly rants about how much he hates the internet and how it is so &quot;over&quot;. What reasons do you think people have for disliking the internet? Do you feel is has bad aspects?";0
760;"Tell me something about you that most people don&apos;t know.";0
761;thaa wass jus nasty wannah see bttr?.r vvvvvvvv;0
762;when you smile  you look like someone stuck two nuts in your cheeks. freaking chipmunk!!!;1
763;R U a prostitute ? or did U buy one ?;1
764;oh frances hunny dont try and talk all ghetto your white ass doesnt fucking scare me  i will break you in fucking half.;1
765;Did you ever play duck duck goose as a child?;0
766;What is your favorite type/brand of cell phone and why?;0
767;is it true your gnna be in 8th grade this year;0
768;Wtf i just saw your pics and moises is in them like wtf since when is he friends with you especially since your in 8th grade like back off and stick to your own friends;1
769;Who ever is asking it is me that puts the little noses between : and ) ect. Who is asking anyway? :-D;0
770;she is not OBSESSED with yor and ya i know like everything about her and she knows like everything about me we are like sisters but not really but we seem like it i can do what ever the fuck i want;1
771;dont u have a contact on yahoo called that? luvmehateme or something like that?;0
772;Do you love someone  other than family?;0
773;Have you ever stolen anything from a store or from someone?;1
774;Do you think the last person you kissed cares for you?;0
775;YOUR BACKGROUND CREEPS ME OUT! #just saying;1
776;how many people are you following on fs?;0
777;look at my fs;1
778;Okae then bitch you dont got any quick comebacks now do you you fucking FAKE!!!/;1
779;you need a paper bag? i need a drink...lol omg im becoming an alcoholic;0
780;Who is the wind beneath your wings?;0
781;"Stop Calling Tabi &quot;Fake&quot; Obviously Your The Fake Bitch That Don't Have A Life I Don't Know Tabi But She Seems Like A Nice Person.";1
782;If through some sort of magic or science experiment gone ary I were able to turn you into a cat could I keep you?;0
783;Are you quick to take medicine or more likely to wait it out?;0
784;What kinda questions do you like to be asked ?? .. The thought provoking kind  or the stupid kind ?? .. Maybe the in betweeners ?? ..;0
785;"&quot;The cost of raising a child nears $250K. Health care and other needs will total almost a quarter of a million dollars  not including college.&quot; With this in mind  if you suddenly became a parent [if it&#039;s impossible just humor me]  what sort of sacrifices";0
786;Okay I am done spamming for right now. I will more later tonight. My husband is cooking dinner and I am about to eat. But please spam me back. And I hope you all have a great night! <3 -ChloroformGRL;0
787;Softy ass LMAOO;1
788;I don't fucking like like Tabitha! I don't like girls who lead on!;1
789;ugly.;1
790;Is your city/town known for anything? If so  what? How about your state  what is it known for?;0
791;If you were given the oppertunity to broadcast something to the world  what would you say? It can be anything at all (:;0
792;spam/.;1
